"SampDate","SpName","TagNo","TL_mm","WT_g","Sex_MFU"
1999-10-13,"Atlantic Salmon","D3090","394","1550","U"
1999-10-15,"Atlantic Salmon","D3091","546","1900","U"
1999-10-15,"Atlantic Salmon","D3093","597","2700","U"
1999-10-18,"Atlantic Salmon","D3094","550","1900","U"
1999-10-18,"Atlantic Salmon","D3095","535","1650","U"
1999-10-18,"Atlantic Salmon","D3096","525","1600","U"
1999-10-18,"Atlantic Salmon","D3097","495","1200","U"
1999-10-18,"Atlantic Salmon","D3098","655","2950","U"
1999-10-22,"Atlantic Salmon","D3099","525","1400","U"
1999-10-22,"Atlantic Salmon","D3100","631","2900","U"
1999-10-22,"Atlantic Salmon","A701","701","3300","U"
1999-10-25,"Atlantic Salmon","D2001","520","1500","U"
1999-10-25,"Atlantic Salmon","D2002","510","1400","U"
1999-10-25,"Atlantic Salmon","D2003","540","1500","U"
1999-10-27,"Atlantic Salmon","D2004","522","1700","U"
1999-10-27,"Atlantic Salmon","D2005","641","2800","U"
1999-10-27,"Atlantic Salmon","D2006","645","3500","U"
1999-10-27,"Atlantic Salmon","D2007","544","1800","U"
1999-10-29,"Atlantic Salmon","D2011","510","1065","U"
1999-10-29,"Atlantic Salmon","D2012","610","3100","U"
1999-10-29,"Atlantic Salmon","D2013","495","1400","U"
1999-11-01,"Atlantic Salmon","D2014","625","2300","U"
1999-11-01,"Atlantic Salmon","D2015","570","2400","U"
1999-11-01,"Atlantic Salmon","D2016","565","1800","U"
1999-11-03,"Atlantic Salmon","D2017","575","2100","U"
1999-11-11,"Atlantic Salmon","D2018","520","1300","U"
2000-09-29,"Atlantic Salmon","D2020","800",NA,"U"
2000-10-09,"Atlantic Salmon","D2021","570","2100","U"
2000-10-09,"Atlantic Salmon","D2022","615","2300","U"
2000-10-09,"Atlantic Salmon","D2023","402","600","U"
2000-10-09,"Atlantic Salmon","D2024","502","1250","U"
2000-10-09,"Atlantic Salmon","D2025","515","1000","U"
2000-10-09,"Atlantic Salmon","D2026","556","1500","U"
2000-10-11,"Atlantic Salmon","D2027","530","1600","U"
2000-10-11,"Atlantic Salmon","D2028","575","2100","U"
2000-10-11,"Atlantic Salmon","D2029","571","1500","U"
2000-10-13,"Atlantic Salmon","D2030","554",NA,"U"
2000-10-17,"Atlantic Salmon","D2031","450","800","U"
2000-10-17,"Atlantic Salmon","D2032","545","1300","U"
2000-10-17,"Atlantic Salmon","D2033","652","2600","U"
